Geographic Area Name,Zone,No vehicle available,1 vehicle available,2 vehicles available,3 or more vehicles available,Transportation_type
Census Tract 288,Bensonhurst West,0,46,0,22,carpooled
Census Tract 289,Stuyvesant Heights,0,0,154,0,carpooled
Census Tract 290,Bensonhurst West,0,56,0,0,carpooled
Census Tract 291,Stuyvesant Heights,28,53,5,0,carpooled
Census Tract 292,Bath Beach,21,11,0,0,carpooled
Census Tract 293,Stuyvesant Heights,18,7,58,0,carpooled
Census Tract 294,Bensonhurst West,8,14,0,0,carpooled
Census Tract 295,Stuyvesant Heights,0,45,0,0,carpooled
Census Tract 296,Bensonhurst West,0,12,0,0,carpooled
Census Tract 297,Crown Heights North,0,10,0,20,carpooled
Census Tract 298,Bensonhurst East,48,93,18,17,carpooled
Census Tract 300,Bensonhurst East,0,27,0,0,carpooled
Census Tract 301,Ocean Hill,0,29,0,0,carpooled
Census Tract 302,Bensonhurst East,0,42,54,0,carpooled
Census Tract 303,Ocean Hill,0,18,0,0,carpooled
Census Tract 304,Bensonhurst East,0,19,64,0,carpooled
Census Tract 305,Crown Heights North,0,0,91,0,carpooled
Census Tract 306,Gravesend,8,0,20,0,carpooled
Census Tract 307,Crown Heights North,5,28,0,0,carpooled
Census Tract 309,Crown Heights North,0,22,0,0,carpooled
Census Tract 313,Crown Heights North,0,19,0,0,carpooled
Census Tract 314.01,Gravesend,64,5,19,0,carpooled
Census Tract 315,Crown Heights North,19,16,0,0,carpooled
Census Tract 317.01,Crown Heights North,0,73,0,0,carpooled
Census Tract 317.02,Crown Heights North,10,32,0,0,carpooled
Census Tract 321,Crown Heights South,0,14,0,0,carpooled
Census Tract 323,Crown Heights South,17,10,0,0,carpooled
Census Tract 325,Crown Heights South,0,22,0,0,carpooled
Census Tract 326,Coney Island,53,162,0,0,carpooled
Census Tract 327,Prospect-Lefferts Gardens,0,0,10,0,carpooled
Census Tract 328,Coney Island,0,14,49,0,carpooled
Census Tract 329,Prospect-Lefferts Gardens,0,19,0,0,carpooled
Census Tract 330,Coney Island,0,0,18,0,carpooled
Census Tract 331,Crown Heights South,15,50,0,0,carpooled
Census Tract 333,Crown Heights South,86,69,0,0,carpooled
Census Tract 335,Crown Heights South,24,24,13,0,carpooled
Census Tract 336,Coney Island,0,132,0,88,carpooled
Census Tract 337.01,Crown Heights North,0,7,0,0,carpooled
Census Tract 337.02,Crown Heights North,0,8,0,0,carpooled
Census Tract 339,Crown Heights North,0,25,0,0,carpooled
Census Tract 340,Coney Island,0,6,0,0,carpooled
Census Tract 341,Crown Heights North,0,8,0,0,carpooled
Census Tract 342,Coney Island,32,18,0,0,carpooled
Census Tract 347,Crown Heights North,64,0,0,0,carpooled
Census Tract 348,Coney Island,0,0,10,0,carpooled
Census Tract 349.02,Crown Heights North,0,49,0,0,carpooled
Census Tract 350,Coney Island,27,0,40,0,carpooled
Census Tract 351.01,Crown Heights North,0,33,0,0,carpooled
Census Tract 351.02,Crown Heights North,32,0,0,0,carpooled
Census Tract 353.01,Crown Heights North,38,0,0,0,carpooled
Census Tract 353.02,Crown Heights North,14,0,22,0,carpooled
Census Tract 354,Coney Island,34,0,0,0,carpooled
Census Tract 355,Crown Heights South,20,32,0,54,carpooled
Census Tract 357.01,Crown Heights North,0,8,12,0,carpooled
Census Tract 360.01,Brighton Beach,0,8,0,0,carpooled
Census Tract 360.02,Brighton Beach,45,0,0,0,carpooled
Census Tract 361,Ocean Hill,32,0,0,0,carpooled
Census Tract 362,Brighton Beach,29,14,0,0,carpooled
Census Tract 363,Ocean Hill,0,0,0,17,carpooled
Census Tract 364,Brighton Beach,0,5,0,38,carpooled
Census Tract 365.01,Ocean Hill,0,22,26,0,carpooled
Census Tract 365.02,Ocean Hill,22,0,0,0,carpooled
Census Tract 366,Brighton Beach,15,60,33,0,carpooled
Census Tract 367,Ocean Hill,0,12,0,0,carpooled
Census Tract 370,Brighton Beach,0,8,45,0,carpooled
Census Tract 371,Ocean Hill,0,41,0,0,carpooled
Census Tract 373,Ocean Hill,0,38,0,0,carpooled
Census Tract 374.01,Gravesend,0,61,0,0,carpooled
Census Tract 374.02,Gravesend,41,106,0,15,carpooled
Census Tract 375,Stuyvesant Heights,16,30,24,0,carpooled
Census Tract 377,Stuyvesant Heights,13,65,25,0,carpooled
Census Tract 379,Stuyvesant Heights,0,14,30,0,carpooled
Census Tract 381,Crown Heights North,12,46,0,0,carpooled
Census Tract 383,Stuyvesant Heights,0,17,30,0,carpooled
Census Tract 386,Gravesend,0,79,21,7,carpooled
Census Tract 388,Homecrest,39,243,196,9,carpooled
Census Tract 390,Homecrest,14,69,92,0,carpooled
Census Tract 391,Bushwick South,0,0,62,5,carpooled
Census Tract 392,Homecrest,0,61,28,0,carpooled
Census Tract 393,Bushwick South,0,13,0,67,carpooled
Census Tract 394,Homecrest,0,17,34,0,carpooled
Census Tract 395,Bushwick South,0,0,64,0,carpooled
Census Tract 396,Homecrest,0,14,27,0,carpooled
Census Tract 397,Bushwick South,0,44,0,0,carpooled
Census Tract 398,Gravesend,11,6,23,0,carpooled
Census Tract 399,Bushwick South,17,13,13,0,carpooled
Census Tract 400,Bensonhurst East,14,63,39,0,carpooled
Census Tract 401,Bushwick South,42,0,0,11,carpooled
Census Tract 402,Bensonhurst East,0,48,18,22,carpooled
Census Tract 403,Bushwick South,44,31,0,0,carpooled
Census Tract 404,Bensonhurst East,0,38,34,0,carpooled
Census Tract 405,Bushwick South,8,13,0,0,carpooled
Census Tract 406,Bensonhurst East,0,9,0,33,carpooled
Census Tract 408,Bensonhurst East,0,42,47,0,carpooled
Census Tract 409,Bushwick North,0,177,0,0,carpooled
Census Tract 410,Bensonhurst East,0,5,50,0,carpooled
Census Tract 411,Bushwick South,0,0,10,0,carpooled
Census Tract 412,Bensonhurst East,50,42,59,46,carpooled
Census Tract 413,Bushwick South,0,16,110,0,carpooled
Census Tract 414.01,Homecrest,0,9,24,0,carpooled
Census Tract 414.02,Homecrest,20,29,49,19,carpooled
Census Tract 415,Bushwick South,57,82,0,0,carpooled
Census Tract 416,Homecrest,0,0,0,22,carpooled
Census Tract 418,Homecrest,6,37,26,0,carpooled
Census Tract 420,Homecrest,6,0,57,0,carpooled
Census Tract 421,Bushwick South,0,31,45,0,carpooled
Census Tract 422,Homecrest,8,9,13,0,carpooled
Census Tract 423,Bushwick South,37,108,0,0,carpooled
Census Tract 424,Bensonhurst East,7,28,136,0,carpooled
Census Tract 425,Bushwick South,26,174,0,0,carpooled
Census Tract 426,Bensonhurst East,32,89,68,31,carpooled
Census Tract 427,Bushwick North,0,64,0,0,carpooled
Census Tract 428,Bensonhurst East,0,69,9,0,carpooled
Census Tract 429,Bushwick North,14,56,0,0,carpooled
Census Tract 430,Bensonhurst East,96,70,24,0,carpooled
Census Tract 432,Bensonhurst East,9,46,25,79,carpooled
Census Tract 433,Bushwick North,0,14,0,0,carpooled
Census Tract 434,Bensonhurst East,31,27,18,9,carpooled
Census Tract 435,Bushwick North,0,35,11,0,carpooled
Census Tract 436,Bensonhurst East,0,171,0,0,carpooled
Census Tract 437,Bushwick North,99,40,15,0,carpooled
Census Tract 438,Ocean Parkway South,15,57,52,29,carpooled
Census Tract 439,Bushwick North,0,13,0,0,carpooled
Census Tract 440,Ocean Parkway South,6,17,15,2,carpooled
Census Tract 441,Bushwick North,0,88,0,0,carpooled
Census Tract 442,Ocean Parkway South,0,44,24,22,carpooled
Census Tract 443,Bushwick North,15,17,0,0,carpooled
Census Tract 444,Ocean Parkway South,0,21,0,0,carpooled
Census Tract 445,Bushwick North,0,33,0,0,carpooled
Census Tract 446,Borough Park,33,21,63,0,carpooled
Census Tract 447,Bushwick North,0,2,8,0,carpooled
Census Tract 448,Ocean Parkway South,0,39,0,11,carpooled
Census Tract 449.01,East Williamsburg,9,0,0,0,carpooled
Census Tract 450,Ocean Parkway South,14,10,0,0,carpooled
Census Tract 452,Ocean Parkway South,0,51,21,23,carpooled
Census Tract 454,Ocean Parkway South,0,36,20,0,carpooled
Census Tract 456,Midwood,0,52,16,0,carpooled
Census Tract 458,Midwood,0,14,0,0,carpooled
Census Tract 460,Flatbush/Ditmas Park,67,8,16,16,carpooled
Census Tract 462.01,Flatbush/Ditmas Park,0,17,0,0,carpooled
Census Tract 462.02,Ocean Parkway South,4,28,44,0,carpooled
Census Tract 464,Borough Park,11,144,0,0,carpooled
Census Tract 468,Borough Park,0,70,14,0,carpooled
Census Tract 470,Borough Park,16,58,27,0,carpooled
Census Tract 472,Borough Park,0,19,0,0,carpooled
Census Tract 474,Borough Park,15,0,13,11,carpooled
Census Tract 476,Borough Park,16,34,0,0,carpooled
Census Tract 477,East Williamsburg,21,13,11,0,carpooled
Census Tract 478,Borough Park,22,40,14,0,carpooled
Census Tract 480,Flatbush/Ditmas Park,31,41,0,0,carpooled
Census Tract 481,East Williamsburg,0,77,0,0,carpooled
Census Tract 484,Kensington,94,64,61,10,carpooled
Census Tract 485,Bushwick South,13,0,0,0,carpooled
Census Tract 486,Kensington,20,25,8,0,carpooled
Census Tract 488,Kensington,65,53,25,31,carpooled
Census Tract 489,Bushwick South,0,8,0,0,carpooled
Census Tract 490,Kensington,0,23,0,0,carpooled
Census Tract 491,East Williamsburg,27,0,154,0,carpooled
Census Tract 492,Kensington,0,43,6,0,carpooled
Census Tract 493.01,Bushwick South,0,21,0,0,carpooled
Census Tract 494,Kensington,37,43,0,0,carpooled
Census Tract 495,East Williamsburg,6,0,0,0,carpooled
Census Tract 496,Kensington,0,14,0,0,carpooled
Census Tract 497,East Williamsburg,0,9,0,0,carpooled
Census Tract 499,Greenpoint,0,10,0,0,carpooled
Census Tract 500.01,Windsor Terrace,0,51,0,0,carpooled
Census Tract 500.02,Windsor Terrace,17,13,0,7,carpooled
Census Tract 502.02,Windsor Terrace,0,57,0,0,carpooled
Census Tract 503,East Williamsburg,15,26,0,0,carpooled
Census Tract 504.01,Windsor Terrace,14,178,10,0,carpooled
Census Tract 505,East Williamsburg,37,0,0,0,carpooled
Census Tract 506,Flatbush/Ditmas Park,57,20,0,48,carpooled
Census Tract 507,Bedford,0,0,18,0,carpooled
Census Tract 508.03,Flatbush/Ditmas Park,5,0,0,0,carpooled
Census Tract 508.04,Flatbush/Ditmas Park,0,17,0,0,carpooled
Census Tract 509,South Williamsburg,26,53,0,0,carpooled
Census Tract 510.01,Flatbush/Ditmas Park,0,10,0,0,carpooled
Census Tract 510.02,Flatbush/Ditmas Park,0,39,29,0,carpooled
Census Tract 511,East Williamsburg,0,89,0,0,carpooled
Census Tract 512,Flatbush/Ditmas Park,0,0,37,0,carpooled
Census Tract 513,Williamsburg (South Side),51,0,43,0,carpooled
Census Tract 514,Flatbush/Ditmas Park,108,15,0,0,carpooled
Census Tract 515,Williamsburg (North Side),39,17,0,0,carpooled
Census Tract 516.01,Flatbush/Ditmas Park,0,88,13,0,carpooled
Census Tract 516.02,Flatbush/Ditmas Park,32,100,0,0,carpooled
Census Tract 518,Flatbush/Ditmas Park,0,6,0,0,carpooled
Census Tract 519,Williamsburg (North Side),22,16,0,0,carpooled
Census Tract 520,Flatbush/Ditmas Park,0,13,0,60,carpooled
Census Tract 523,Williamsburg (South Side),38,0,0,0,carpooled
Census Tract 525,Williamsburg (South Side),114,9,0,0,carpooled
Census Tract 526,Flatbush/Ditmas Park,37,6,20,0,carpooled
Census Tract 527,Williamsburg (South Side),35,0,0,0,carpooled
Census Tract 528,Flatbush/Ditmas Park,14,11,11,0,carpooled
Census Tract 529,South Williamsburg,58,63,0,0,carpooled
Census Tract 530,Midwood,0,58,0,0,carpooled
Census Tract 531.02,Bedford,85,88,0,0,carpooled
Census Tract 532,Midwood,0,55,9,0,carpooled
Census Tract 533,South Williamsburg,60,19,0,0,carpooled
Census Tract 534,Midwood,0,86,80,16,carpooled
Census Tract 535,South Williamsburg,0,43,0,0,carpooled
Census Tract 537,South Williamsburg,0,47,6,0,carpooled
Census Tract 538,Midwood,0,28,46,0,carpooled
Census Tract 539,South Williamsburg,13,30,0,0,carpooled
Census Tract 542,Midwood,14,121,62,0,carpooled
Census Tract 544,Midwood,0,91,57,0,carpooled
Census Tract 545,South Williamsburg,0,36,37,0,carpooled
Census Tract 546,Midwood,0,265,0,0,carpooled
Census Tract 547,Williamsburg (South Side),12,69,0,0,carpooled
Census Tract 548,Madison,0,8,0,0,carpooled
Census Tract 549,Williamsburg (South Side),46,126,0,0,carpooled
Census Tract 550,Madison,5,58,3,15,carpooled
Census Tract 551,Williamsburg (South Side),99,58,0,0,carpooled
Census Tract 552,Madison,63,27,26,0,carpooled
Census Tract 554,Homecrest,36,73,9,0,carpooled
Census Tract 555,Williamsburg (North Side),9,97,0,0,carpooled
Census Tract 556,Homecrest,7,82,60,16,carpooled
Census Tract 558,Madison,5,32,6,21,carpooled
Census Tract 560,Madison,0,41,13,0,carpooled
Census Tract 561,Greenpoint,21,10,0,20,carpooled
Census Tract 562,Madison,0,61,0,4,carpooled
Census Tract 563.02,Greenpoint,53,0,0,0,carpooled
Census Tract 564,Madison,0,48,38,5,carpooled
Census Tract 565,Greenpoint,0,31,0,0,carpooled
Census Tract 566,Madison,16,40,99,0,carpooled
Census Tract 568,Madison,0,4,8,0,carpooled
Census Tract 569,Greenpoint,8,0,9,0,carpooled
Census Tract 570,Sheepshead Bay,0,36,20,31,carpooled
Census Tract 571,Greenpoint,49,5,0,0,carpooled
Census Tract 572,Sheepshead Bay,29,41,0,0,carpooled
Census Tract 574,Madison,12,65,26,14,carpooled
Census Tract 575,Greenpoint,19,71,0,0,carpooled
Census Tract 576,Madison,0,37,12,3,carpooled
Census Tract 580,Madison,20,30,0,0,carpooled
Census Tract 582,Homecrest,0,165,17,0,carpooled
Census Tract 584,Homecrest,0,0,82,23,carpooled
Census Tract 586,Sheepshead Bay,14,25,17,7,carpooled
Census Tract 588,Homecrest,10,55,0,0,carpooled
Census Tract 589.01,Greenpoint,0,21,7,0,carpooled
Census Tract 590,Sheepshead Bay,9,0,12,0,carpooled
Census Tract 591,Greenpoint,13,12,0,0,carpooled
Census Tract 592,Sheepshead Bay,35,48,0,0,carpooled
Census Tract 593,Greenpoint,20,42,24,0,carpooled
Census Tract 594.02,Sheepshead Bay,50,45,40,15,carpooled
Census Tract 594.03,Sheepshead Bay,0,12,0,0,carpooled
Census Tract 594.04,Sheepshead Bay,25,123,98,0,carpooled
Census Tract 596,Sheepshead Bay,9,0,20,0,carpooled
Census Tract 598,Sheepshead Bay,77,7,19,0,carpooled
Census Tract 600,Sheepshead Bay,0,135,32,0,carpooled
Census Tract 606,Sheepshead Bay,37,17,17,0,carpooled
Census Tract 608,Manhattan Beach,2,136,25,8,carpooled
Census Tract 610.02,Brighton Beach,26,80,38,0,carpooled
Census Tract 610.03,Brighton Beach,0,12,0,0,carpooled
Census Tract 610.04,Brighton Beach,0,19,0,0,carpooled
Census Tract 612,Manhattan Beach,8,0,30,0,carpooled
Census Tract 616,Manhattan Beach,0,16,17,0,carpooled
Census Tract 620,Manhattan Beach,5,12,62,0,carpooled
Census Tract 622,Manhattan Beach,21,55,6,34,carpooled
Census Tract 626,Sheepshead Bay,53,86,18,22,carpooled
Census Tract 628,Marine Park/Floyd Bennett Field,0,108,45,0,carpooled
Census Tract 632,Sheepshead Bay,0,0,31,0,carpooled
Census Tract 636,Marine Park/Mill Basin,4,123,23,0,carpooled
Census Tract 638,Marine Park/Floyd Bennett Field,0,49,8,0,carpooled
Census Tract 640,Marine Park/Mill Basin,0,36,33,70,carpooled
Census Tract 642,Madison,0,0,54,34,carpooled
Census Tract 644,Marine Park/Mill Basin,72,80,17,0,carpooled
Census Tract 646,Marine Park/Mill Basin,4,10,10,10,carpooled
Census Tract 648,Marine Park/Mill Basin,7,22,119,25,carpooled
Census Tract 650,Flatlands,0,30,17,9,carpooled
Census Tract 652,Marine Park/Mill Basin,0,17,7,7,carpooled
Census Tract 654,Marine Park/Mill Basin,0,13,31,0,carpooled
Census Tract 656,Marine Park/Mill Basin,18,35,22,26,carpooled
Census Tract 658,Marine Park/Mill Basin,0,77,0,0,carpooled
Census Tract 660,Marine Park/Mill Basin,0,20,10,10,carpooled
Census Tract 662,Marine Park/Mill Basin,0,66,8,0,carpooled
Census Tract 670,Marine Park/Mill Basin,76,128,27,6,carpooled
Census Tract 674,Flatlands,0,28,84,0,carpooled
Census Tract 678,Flatlands,0,0,13,8,carpooled
Census Tract 680,Flatlands,0,1,2,0,carpooled
Census Tract 682,Flatlands,0,55,64,2,carpooled
Census Tract 686,Marine Park/Mill Basin,14,34,23,0,carpooled
Census Tract 688,Flatlands,0,11,48,0,carpooled
Census Tract 690,Flatlands,0,25,23,0,carpooled
Census Tract 692,Flatlands,26,11,39,0,carpooled
Census Tract 696.01,Marine Park/Mill Basin,13,51,33,11,carpooled
Census Tract 696.02,Marine Park/Mill Basin,0,69,151,54,carpooled
Census Tract 698,#N/A,0,71,126,28,carpooled
Census Tract 700,Marine Park/Mill Basin,14,26,39,5,carpooled
Census Tract 702.01,Marine Park/Mill Basin,0,136,156,55,carpooled
Census Tract 706.01,Marine Park/Mill Basin,13,35,46,134,carpooled
Census Tract 720,Flatlands,0,59,33,0,carpooled
Census Tract 722,Flatlands,22,46,6,0,carpooled
Census Tract 724,Flatlands,0,18,0,0,carpooled
Census Tract 726,Flatlands,0,10,12,0,carpooled
Census Tract 728,Flatlands,12,128,53,0,carpooled
Census Tract 730,Flatlands,0,16,41,55,carpooled
Census Tract 732,Flatlands,0,80,28,31,carpooled
Census Tract 734,Flatlands,0,5,0,0,carpooled
Census Tract 736,Flatlands,9,17,19,0,carpooled
Census Tract 738,Flatlands,48,35,7,0,carpooled
Census Tract 740,Flatlands,9,47,13,17,carpooled
Census Tract 742,Flatlands,13,51,0,0,carpooled
Census Tract 744,Flatlands,0,53,49,0,carpooled
Census Tract 746,Flatlands,1,16,9,0,carpooled
Census Tract 748,Midwood,26,0,12,0,carpooled
Census Tract 750,Midwood,19,30,0,0,carpooled
Census Tract 752,Midwood,0,43,6,6,carpooled
Census Tract 754,Midwood,0,41,0,0,carpooled
Census Tract 756,Midwood,0,32,101,0,carpooled
Census Tract 758,Midwood,0,0,7,30,carpooled
Census Tract 760,Midwood,40,29,28,0,carpooled
Census Tract 762,Midwood,45,54,36,0,carpooled
Census Tract 764,Flatbush/Ditmas Park,52,24,11,0,carpooled
Census Tract 766,Flatbush/Ditmas Park,12,27,22,23,carpooled
Census Tract 768,Midwood,7,43,125,0,carpooled
Census Tract 770,Flatbush/Ditmas Park,35,16,0,0,carpooled
Census Tract 772,Flatbush/Ditmas Park,0,6,0,0,carpooled
Census Tract 774,Flatbush/Ditmas Park,35,34,0,0,carpooled
Census Tract 776,Flatlands,0,0,17,0,carpooled
Census Tract 780,East Flatbush/Farragut,0,62,14,0,carpooled
Census Tract 782,East Flatbush/Farragut,0,23,20,0,carpooled
Census Tract 784,East Flatbush/Farragut,21,0,42,0,carpooled
Census Tract 786.01,Flatbush/Ditmas Park,129,0,0,22,carpooled
Census Tract 786.02,Flatbush/Ditmas Park,48,0,31,29,carpooled
Census Tract 788.01,Flatbush/Ditmas Park,0,57,0,0,carpooled
Census Tract 790.02,Erasmus,0,22,0,11,carpooled
Census Tract 792.02,Erasmus,11,66,32,0,carpooled
Census Tract 794,Erasmus,0,22,6,0,carpooled
Census Tract 796.01,Prospect-Lefferts Gardens,0,76,0,0,carpooled
Census Tract 796.02,Prospect-Lefferts Gardens,96,8,0,0,carpooled
Census Tract 798.01,Prospect-Lefferts Gardens,13,0,0,0,carpooled
Census Tract 798.02,Prospect-Lefferts Gardens,0,23,0,0,carpooled
Census Tract 800,Prospect-Lefferts Gardens,0,0,44,0,carpooled
Census Tract 802,Prospect-Lefferts Gardens,33,51,35,0,carpooled
Census Tract 806,Prospect-Lefferts Gardens,0,10,0,0,carpooled
Census Tract 810,Prospect-Lefferts Gardens,0,29,16,0,carpooled
Census Tract 814,East Flatbush/Farragut,66,0,0,0,carpooled
Census Tract 816,East Flatbush/Farragut,0,28,0,0,carpooled
Census Tract 818,Erasmus,0,29,0,0,carpooled
Census Tract 820,Prospect-Lefferts Gardens,39,0,11,0,carpooled
Census Tract 822,Prospect-Lefferts Gardens,115,40,0,0,carpooled
Census Tract 824,Erasmus,0,17,0,0,carpooled
Census Tract 826,Erasmus,0,0,0,7,carpooled
Census Tract 828,Erasmus,10,9,83,0,carpooled
Census Tract 830,East Flatbush/Farragut,0,19,91,0,carpooled
Census Tract 832,East Flatbush/Farragut,12,0,13,0,carpooled
Census Tract 834,East Flatbush/Farragut,0,28,0,0,carpooled
Census Tract 836,East Flatbush/Farragut,0,21,11,8,carpooled
Census Tract 838,East Flatbush/Farragut,0,22,21,15,carpooled
Census Tract 840,East Flatbush/Farragut,0,6,0,0,carpooled
Census Tract 846,East Flatbush/Remsen Village,0,12,0,0,carpooled
Census Tract 848,East Flatbush/Remsen Village,21,0,28,13,carpooled
Census Tract 850,East Flatbush/Farragut,0,8,0,25,carpooled
Census Tract 852,East Flatbush/Farragut,0,0,4,0,carpooled
Census Tract 854,East Flatbush/Farragut,0,27,0,7,carpooled
Census Tract 856,East Flatbush/Farragut,0,45,0,0,carpooled
Census Tract 858,East Flatbush/Farragut,0,13,9,0,carpooled
Census Tract 860,East Flatbush/Farragut,26,15,15,0,carpooled
Census Tract 862,East Flatbush/Remsen Village,13,24,60,0,carpooled
Census Tract 864,East Flatbush/Remsen Village,0,0,13,0,carpooled
Census Tract 866,East Flatbush/Remsen Village,6,13,0,0,carpooled
Census Tract 872,East Flatbush/Farragut,0,54,0,0,carpooled
Census Tract 874.01,Prospect-Lefferts Gardens,0,11,0,0,carpooled
Census Tract 878,Prospect-Lefferts Gardens,24,0,0,0,carpooled
Census Tract 880.01,Prospect-Lefferts Gardens,0,22,38,0,carpooled
Census Tract 880.02,Prospect-Lefferts Gardens,0,15,0,0,carpooled
Census Tract 882,East Flatbush/Remsen Village,55,0,36,0,carpooled
Census Tract 884,East Flatbush/Remsen Village,10,24,0,0,carpooled
Census Tract 886,East Flatbush/Remsen Village,30,0,0,0,carpooled
Census Tract 888,East Flatbush/Remsen Village,13,92,0,0,carpooled
Census Tract 890,East Flatbush/Remsen Village,57,87,0,30,carpooled
Census Tract 892,Brownsville,11,30,0,0,carpooled
Census Tract 894,Brownsville,0,22,0,0,carpooled
Census Tract 896,Brownsville,0,8,0,0,carpooled
Census Tract 898,Brownsville,0,6,0,9,carpooled
Census Tract 900,Brownsville,8,14,15,0,carpooled
Census Tract 902,Brownsville,0,36,0,20,carpooled
Census Tract 906,Brownsville,76,0,0,0,carpooled
Census Tract 908,Brownsville,39,0,0,0,carpooled
Census Tract 916,Brownsville,12,15,0,65,carpooled
Census Tract 918,Brownsville,21,15,48,0,carpooled
Census Tract 920,Brownsville,0,17,0,0,carpooled
Census Tract 922,Brownsville,65,19,0,0,carpooled
Census Tract 924,Brownsville,0,13,0,0,carpooled
Census Tract 928,East Flatbush/Remsen Village,0,77,13,0,carpooled
Census Tract 930,East Flatbush/Remsen Village,0,0,27,0,carpooled
Census Tract 934,East Flatbush/Remsen Village,9,65,7,0,carpooled
Census Tract 936,East Flatbush/Remsen Village,0,10,16,0,carpooled
Census Tract 938,East Flatbush/Remsen Village,17,46,0,0,carpooled
Census Tract 944.01,Flatlands,0,37,16,24,carpooled
Census Tract 944.02,Flatlands,20,0,19,0,carpooled
Census Tract 946,East Flatbush/Remsen Village,4,8,6,0,carpooled
Census Tract 950,Canarsie,19,0,14,0,carpooled
Census Tract 954,Canarsie,0,80,7,35,carpooled
Census Tract 956,Canarsie,0,79,80,0,carpooled
Census Tract 958,Canarsie,0,5,0,0,carpooled
Census Tract 962,Canarsie,6,20,6,0,carpooled
Census Tract 964,Canarsie,31,8,40,0,carpooled
Census Tract 966,Canarsie,0,91,11,5,carpooled
Census Tract 968,Canarsie,8,16,0,0,carpooled
Census Tract 970,Canarsie,0,38,38,0,carpooled
Census Tract 974,Canarsie,0,20,0,55,carpooled
Census Tract 982,Canarsie,22,72,0,0,carpooled
Census Tract 984,Canarsie,0,59,37,0,carpooled
Census Tract 986,Canarsie,0,50,0,0,carpooled
Census Tract 988,Canarsie,0,109,17,20,carpooled
Census Tract 990,Canarsie,0,0,0,10,carpooled
Census Tract 992,Canarsie,0,16,0,14,carpooled
Census Tract 994,Canarsie,0,31,0,0,carpooled
Census Tract 996,Canarsie,0,19,0,0,carpooled
Census Tract 998,Canarsie,0,20,203,9,carpooled
Census Tract 1004,Canarsie,0,103,56,19,carpooled
Census Tract 1006,Canarsie,0,7,47,0,carpooled
Census Tract 1008,Canarsie,0,0,37,17,carpooled
Census Tract 1010,Canarsie,0,60,26,0,carpooled
Census Tract 1012,Canarsie,0,130,38,6,carpooled
Census Tract 1014,Canarsie,0,0,22,0,carpooled
Census Tract 1016,Canarsie,0,0,32,0,carpooled
Census Tract 1018,Canarsie,0,0,10,0,carpooled
Census Tract 1020,Canarsie,0,83,38,0,carpooled
Census Tract 1022,Canarsie,0,37,30,0,carpooled
Census Tract 1024,Canarsie,0,83,0,7,carpooled
Census Tract 1026,Canarsie,0,59,17,16,carpooled
Census Tract 1028.01,Canarsie,0,85,31,19,carpooled
Census Tract 1034.01,Canarsie,0,91,0,0,carpooled
Census Tract 1058.01,Starrett City,22,40,0,0,carpooled
Census Tract 1058.04,Canarsie,57,0,0,11,carpooled
Census Tract 1070.01,East New York,0,15,0,7,carpooled
Census Tract 1078,East New York,0,54,0,0,carpooled
Census Tract 1098,East New York,0,12,0,39,carpooled
Census Tract 1104,East New York,0,46,18,0,carpooled
Census Tract 1106,East New York,27,5,5,0,carpooled
Census Tract 1110,East New York,0,37,0,0,carpooled
Census Tract 1116,East New York,0,29,0,0,carpooled
Census Tract 1118,East New York,0,27,0,0,carpooled
Census Tract 1120,East New York,0,0,11,0,carpooled
Census Tract 1124,East New York,38,53,8,0,carpooled
Census Tract 1132,East New York/Pennsylvania Avenue,0,13,0,0,carpooled
Census Tract 1134,East New York/Pennsylvania Avenue,0,22,0,0,carpooled
Census Tract 1142.01,Bushwick South,0,42,0,0,carpooled
Census Tract 1142.02,Cypress Hills,20,0,0,10,carpooled
Census Tract 1150,East New York,0,0,0,18,carpooled
Census Tract 1152,East New York,0,0,16,28,carpooled
Census Tract 1156,East New York/Pennsylvania Avenue,0,13,0,0,carpooled
Census Tract 1158,East New York/Pennsylvania Avenue,0,0,20,0,carpooled
Census Tract 1160,East New York,31,16,0,0,carpooled
Census Tract 1162,East New York,9,114,83,0,carpooled
Census Tract 1164,East New York,8,67,27,0,carpooled
Census Tract 1166,East New York,0,0,26,0,carpooled
Census Tract 1168,East New York,0,10,0,0,carpooled
Census Tract 1170,East New York,0,31,0,0,carpooled
Census Tract 1172.01,Cypress Hills,17,12,0,38,carpooled
Census Tract 1174,Cypress Hills,0,0,29,0,carpooled
Census Tract 1176.01,Cypress Hills,0,53,0,16,carpooled
Census Tract 1176.02,Cypress Hills,0,19,0,0,carpooled
Census Tract 1182.01,Cypress Hills,0,72,0,0,carpooled
Census Tract 1182.02,Cypress Hills,25,94,18,0,carpooled
Census Tract 1184,Cypress Hills,11,119,0,13,carpooled
Census Tract 1186,Cypress Hills,0,0,49,10,carpooled
Census Tract 1188,Cypress Hills,0,13,0,0,carpooled
Census Tract 1192,East New York,0,38,15,0,carpooled
Census Tract 1194,East New York,0,0,0,33,carpooled
Census Tract 1196,East New York,67,11,0,22,carpooled
Census Tract 1198,East New York,66,0,0,48,carpooled
Census Tract 1200,East New York,106,38,24,0,carpooled
Census Tract 1202,Cypress Hills,8,10,19,0,carpooled
Census Tract 1208.01,East New York,0,49,33,0,carpooled
Census Tract 1208.03,East New York,0,0,0,43,carpooled
